final_score,company_name,relevance_score,revenue,website
0.86,The Refrigeration Group,0.86,5.8,https://therefrigerationgroup.co/
0.82,Greater San Diego Air Conditioning,0.82,19.0,https://www.gsdac.com/
0.81,Provision Heating and Air Conditioning Co.,0.81,39.7,https://www.provisionair.com/
0.79,LA Heating and Air Conditioning,0.79,6.5,https://www.laheatingairconditioning.com/
0.79,Xcel Hvac,0.79,27.2,https://xcelhvac.net/
0.78,Cool Tech Mechanical Inc,0.78,6.7,http://cooltech-mec20h.com/
0.77,Calvey Heating and Air Conditioning,0.77,5.7,https://www.calveyheatingandair.com/
0.76,Pyramid Heating and Cooling Inc.,0.76,21.3,https://pyramidhvac-inc.com/
0.75,HVAC Pulse,0.75,5.7,http://hvacpulse.com/
0.71,RC Air Heating and Air Conditioning Service,0.71,9.0,https://rc-airconditioning.com/
0.7,Canyon City Air,0.7,44.0,https://www.canyoncityair.com/
0.67,Cal Gaskets,0.67,7.4,https://cal-gasket.com/
0.65,"The Whitman Co., Inc.",0.65,30.7,http://www.thewhitmanco.com/
0.59,JTHVAC,0.59,10.4,https://www.jthvac.net/
0.5,Ace San Jose AC Repair,0.5,16.0,http://ace-appliance.com/
0.5,Progressive Heating and Air,0.5,7.2,https://progressiveheatingandair.com/
0.5,DA Parts And Services Inc.,0.5,5.5,https://www.dapartsandservices.com/
0.5,Andes Heating and Air Conditioning,0.5,10.0,https://andesacla.com/
0.5,Seaside Heating and Air Conditioning,0.5,6.0,https://seasideac.com/
0.5,The ORTUS,0.5,7.7,https://www.ortusclub.com/
0.5,LRE Air Conditioning and Refrigeration INC,0.5,21.2,https://lrehvac.com/
0.5,Service Professionals Heating and Air Conditioning,0.5,1900.0,https://serviceprofessionals.net/
0.5,Inspiron Air,0.5,30.7,https://www.dell.com/en-us/shop/dell-laptops/sf/inspiron-laptops
0.45,Aire Serv of Palm Desert,0.45,18.2,https://www.aireserv.com/palm-desert/
0.45,SK Freshair Inc.,0.45,53.1,https://www.skfreshair.com/
0.44,MWG Company,0.44,36.0,https://www.mwgco.com/
0.0,TUFFLOK,0.5,0.0,https://tufflok.com/
0.0,C4S Demolition,0.63,0.0,https://www.c4sdemo.com/
0.0,Ray O. Cook Heating And Air,0.73,0.0,https://www.rayocook.com/
0.0,PR Wave Mechanical Contractors,0.8,0.0,https://www.prwavemechanical.com/
0.0,California Air Control,0.75,0.0,https://californiaaircontrol.com/
0.0,"Air Supply, Inc",0.53,0.0,https://airsupplymusic.com/
0.0,MS Heating and Air Conditioning | HVAC Contractor Stockton,0.81,0.0,https://mshvacr.com/
0.0,Advanced Equipment Repair,0.6,0.0,https://www.advanceder1.com/
0.0,CENTRAL CALIFORNIA AIR INC,0.82,0.0,https://centralcaliforniaair.com/
0.0,One Call Heating and Cooling,0.75,0.0,https://onecallca.com/
0.0,JCC Mechanical,0.87,0.0,https://jccmechanical.com/
0.0,Surf Bros HVAC San Diego,0.8,0.0,https://www.surfbroshvac.com/
0.0,Box Refrigeration and Appliance Service,0.5,0.0,https://boxappliance.com/
0.0,Delightful Duck Cooling and Heating,0.74,0.0,https://calldelightfulduck.com/
0.0,USA Pro Service Inc,0.75,0.0,https://usaproserviceinc.com/
0.0,Air Filtration Solutions LLC,0.56,0.0,https://www.airfiltrations.com/
0.0,Rapid AC Repair San Diego,0.5,0.0,https://www.rapidplumbing.net/ac-repair
0.0,TriTrackers - Equipment Monitoring,0.51,0.0,https://voltaair.com/tritrackers/
0.0,ATC Mechanical,0.5,0.0,https://www.atcmechanical.net/
0.0,818 Attic Cleaners,0.59,0.0,https://818atticcleaners.com/
0.0,Electrocell Fallbrook Energy,0.63,0.0,https://www.electrocell.com/
0.0,Complete Care Home Services,0.5,0.0,https://www.completecarehs.com/
0.0,EBS air conditioning and heating,0.73,0.0,https://www.ebshvac.com/
0.0,California AC and Heating,0.83,0.0,https://www.acandheatrepairs.com/
0.0,Accord Air Mini-split AC services in San Diego,0.58,0.0,https://accordair.com/
0.0,Perma Cool,0.51,0.0,https://perma-cool.com/
0.0,A1 HVAC Service of Westminster,0.82,0.0,https://westminsterhvaccompany.com/
0.0,AC King Inc,0.81,0.0,https://ackinginc.net/
0.0,ABC Service HVAC,0.71,0.0,https://www.heatcoolabc.com/
0.0,RESTAURANTVAN INC,0.5,0.0,https://www.instagram.com/cckitcheneq/?hl=en
0.0,PAC Systems,0.5,0.0,https://discreteautomation.emerson.com/brands/pacsystems
0.0,Infinity Air HVAC and Commercial Refrigeration,0.79,0.0,https://infinityhvacair.com/
0.0,Gardner Air,0.5,0.0,https://gardnerair.com/
0.0,AYRSMITH INC,0.73,0.0,https://www.ayrsmith.com/
0.0,Accurate Comfort Air Conditioning And Heating,0.5,0.0,https://accuratecomforthvac.com/
0.0,Eco Heating and Cooling,0.75,0.0,https://airecola.com/
0.0,CoolMan HVAC Supply,0.61,0.0,https://coolmansupply.com/
0.0,AC Repair Danville,0.75,0.0,https://acrepairdanville.com/
0.0,HCCS LLC,0.56,0.0,https://www.hccscoding.com/
0.0,Downing Heating Inc,0.5,0.0,https://www.downinghvac.com/
0.0,Commercial Climate Supply,0.63,0.0,https://commercialclimatesupply.com/?srsltid=AfmBOors16ObQnYoBUjuaVoVc0HPV9jMim5RyORa_NuSMWwcFoubYjeg
0.0,Golden Comfort AC and Heating Repair,0.5,0.0,https://golden-comfort-ac-heating-repair.wheree.com/
0.0,Hilo Aire,0.78,0.0,https://www.hiloaire.com/
0.0,Modulium,0.59,0.0,https://www.modulium.net/
0.0,Surf Bros HVAC,0.8,0.0,https://www.surfbroshvac.com/
0.0,ACS Hvac Pro,0.5,0.0,https://acshvacpro.com/
0.0,Sinclair Air Systems,0.5,0.0,https://sinclairair.com/
0.0,DehuMasterÂ®,0.56,0.0,https://www.dehumaster.com/
0.0,Eco Pro,0.56,0.0,https://www.ecopro.com/
0.0,HVAC in LA,0.77,0.0,https://hvacinla.com/
0.0,ACS Hvac Pro USA,0.5,0.0,https://acshvacpro.com/
0.0,Sierra Climate Technologies,0.62,0.0,https://sierraclimatetech.com/
0.0,DuVENTUS,0.51,0.0,https://duventus.com/
0.0,HUG Corp,0.5,0.0,https://hugca.com/
0.0,Jupiter Air Conditioning and Heating,0.78,0.0,https://acjupiter.com/
0.0,"AC LOGIX, INC.",0.68,0.0,https://aclogix.com/
0.0,LRC Coil,0.61,0.0,https://lrccoil.com/
0.0,"Therma-Pro Mechanical Services, Inc.",0.78,0.0,https://therma-promech.com/
0.0,"McMaster Heating and Air Conditioning, Inc.",0.75,0.0,https://www.mcmasterair.com/
0.0,Ecotemp,0.41,0.0,https://www.eccotemp.com/?srsltid=AfmBOoro7gGmamUFP46lSnVvQ5bP9_e6m0d21EGBAC2vl_WHFHsBX4NU
0.0,Viking Cooling and Heating,0.79,0.0,https://vikingair.net/
0.0,Alps Air Conditioning and Heating,0.5,0.0,https://alpscomfortair.com/
0.0,Cold Cloud Mechanical,0.73,0.0,https://thecoldcloud.com/
0.0,TradeWind Chillers LLC,0.69,0.0,https://www.tradewindchillers.com/
0.0,Scotty's Heating and Air,0.72,0.0,https://www.scottysheatingandair.com/
0.0,A and R HVAC Air conditioning and heating,0.76,0.0,https://aandrhvac.com/?srsltid=AfmBOooQjh4VkHOuPRVwcAaMO-MzmoAaiPfTW8ike_BtFh3v-2Qlw8tx
0.0,"Aero Way, Inc.",0.5,0.0,https://www.aerowayinc.com/?srsltid=AfmBOopT05eDQqnsCWOecPk0ZEwXNayHHt5Kt-Afgkkv4QX7MdGlnEsg
0.0,Dynamic Air Technology,0.63,0.0,http://www.dairtech.com/
0.0,Northern Services Inc.,0.42,0.0,https://www.northsi.com/
0.0,PartsRush,0.5,0.0,https://www.teamwpd.com/
0.0,Assured Heating and Air Conditioning Services LLC,0.84,0.0,https://assuredairpros.com/
0.0,Prime Genius Inc,0.79,0.0,https://primegeniusinc.com/
0.0,TH2or reactor tech.,0.68,0.0,https://www.thorheater.com/
0.0,Servlegacy Inc.,0.66,0.0,https://www.servlegacy.com/
0.0,American Cooling Solutions Inc,0.53,0.0,https://www.americancoolingsolutions.com/?srsltid=AfmBOoo7RibQVSkv204jqlXeoUcnpQ97ZuU3zlYbyo7cvUvzbpjCrgrU
0.0,B and B Mechanical Inc,0.85,0.0,https://bbmechanicalinc.com/
0.0,CB cooling and Heating Inc.,0.85,0.0,https://hvaccb.com/
0.0,Hvac Penguin,0.74,0.0,https://hvacpenguin.com/
0.0,Rosales Mechanical Inc,0.5,0.0,https://www.instagram.com/rosalesmechanical/
0.0,Freon Service: HVAC and Electrical Services,0.86,0.0,https://www.freonhvac.com/
0.0,Wintri,0.81,0.0,https://wintri.com/
0.0,MATRIX HVAC INC,0.5,0.0,https://www.matrixhvac.com/
0.0,Mi Clima Air Conditioning and Heating Inc,0.63,0.0,https://www.miclimaair.com/
0.0,"RUDY'S COMMERCIAL REFRIGERATION, INC.",0.49,0.0,https://rudysrefrigeration.com/?srsltid=AfmBOorurlom-MetiK6Bh0Kv0fPqUqEwerkjEVIE91UcnSuUhPLGFMHw
0.0,Fallbrook Energy,0.47,0.0,https://www.fpud.com/
